Date,AMZN,DUK,KO
6/23/2009,77.68,29.84294,18.917839
6/24/2009,79.269997,29.86368,18.799108
6/25/2009,82.199997,30.340669,18.937627
6/26/2009,83.879997,29.884418,19.048444
6/29/2009,83.029999,30.236977,19.111767
6/30/2009,83.660004,30.257715,18.993036
7/1/2009,81.599998,30.755444,19.464003
7/2/2009,79.32,29.86368,19.345272
7/6/2009,78.099998,30.299193,19.392764
7/7/2009,75.629997,29.69777,19.250287
7/8/2009,77.360001,29.635554,19.198836
7/9/2009,78.099998,29.511121,19.27799
7/10/2009,77.629997,29.69777,19.119683
7/13/2009,81.470001,30.216236,19.412552
7/14/2009,81.949997,30.112545,19.507538
